"Date","Price","Open","High","Low","Vol.","Change %"
"01/13/2023","9.10","9.10","9.20","9.10","1.06M","1.11%"
"01/12/2023","9.00","9.00","9.10","9.00","1.62M","-1.10%"
"01/11/2023","9.10","9.20","9.20","8.90","983.79K","-1.09%"
"01/10/2023","9.20","8.80","9.20","8.80","914.25K","4.55%"
"01/09/2023","8.80","8.60","8.90","8.60","699.55K","1.15%"
"01/05/2023","8.70","8.50","8.70","8.50","175.45K","2.35%"
"01/04/2023","8.50","8.70","8.70","8.40","170.72K","-1.16%"
"01/03/2023","8.60","8.40","8.60","8.40","632.24K","1.18%"
"01/02/2023","8.50","8.50","8.50","8.40","189.47K","0.00%"
"12/30/2022","8.50","8.50","8.50","8.40","92.63K","0.00%"
"12/29/2022","8.50","8.60","8.60","8.40","39.55K","-1.16%"
"12/28/2022","8.60","8.70","8.70","8.50","14.26K","0.00%"
"12/27/2022","8.60","8.60","8.70","8.50","1.02M","0.00%"
"12/23/2022","8.60","8.60","8.70","8.60","52.32K","-2.27%"
"12/22/2022","8.80","8.80","8.80","8.50","69.60K","2.33%"
"12/21/2022","8.60","8.70","8.80","8.60","730.81K","-1.15%"
"12/20/2022","8.70","8.80","8.80","8.50","476.08K","-1.14%"
"12/19/2022","8.80","8.70","8.90","8.60","571.85K","2.33%"
"12/16/2022","8.60","8.70","8.70","8.60","557.39K","-1.15%"
"12/15/2022","8.70","8.70","8.70","8.60","52.04K","0.00%"
"12/14/2022","8.70","8.70","8.80","8.60","33.42K","-1.14%"
"12/13/2022","8.80","8.90","8.90","8.60","57.30K","0.00%"
"12/12/2022","8.80","9.00","9.00","8.50","550.05K","-2.22%"
"12/09/2022","9.00","8.90","9.20","8.50","117.56K","1.12%"
"12/08/2022","8.90","9.40","9.40","8.80","298.74K","-5.32%"
"12/06/2022","9.40","9.20","9.80","9.00","17.38M","2.17%"
"12/05/2022","9.20","9.20","9.30","9.00","1.27M","0.00%"
"12/02/2022","9.20","9.00","9.30","8.70","2.59M","2.22%"
"12/01/2022","9.00","8.80","9.00","8.70","2.05M","2.27%"
"11/30/2022","8.80","8.50","8.80","8.50","550.27K","2.33%"
"11/29/2022","8.60","8.60","8.70","8.50","777.61K","0.00%"
"11/28/2022","8.60","8.60","8.60","8.50","44.35K","2.38%"
"11/25/2022","8.40","8.50","8.50","8.40","753.13K","-1.18%"
"11/24/2022","8.50","8.60","8.60","8.30","204.52K","0.00%"
"11/23/2022","8.50","8.50","8.60","8.50","101.20K","-1.16%"
"11/22/2022","8.60","8.30","8.60","8.20","4.34M","2.38%"
"11/21/2022","8.40","8.20","8.40","8.20","600.74K","1.20%"
"11/18/2022","8.30","8.50","8.50","8.20","229.57K","-3.49%"
"11/17/2022","8.60","8.50","8.60","8.20","619.74K","2.38%"
"11/16/2022","8.40","8.40","8.50","8.20","746.37K","-1.18%"
"11/15/2022","8.50","8.20","8.60","8.20","12.16M","1.19%"
"11/14/2022","8.40","8.40","8.50","8.30","172.84K","1.20%"
"11/11/2022","8.30","8.30","8.40","8.20","62.61K","0.00%"
"11/10/2022","8.30","8.40","8.50","8.30","300.36K","-1.19%"
"11/09/2022","8.40","8.40","8.50","8.30","251.30K","0.00%"
"11/08/2022","8.40","8.30","8.40","8.20","786.79K","1.20%"
"11/04/2022","8.30","8.40","8.40","8.20","295.22K","0.00%"
"11/03/2022","8.30","8.40","8.40","8.20","24.96K","-1.19%"
"11/02/2022","8.40","8.40","8.40","8.30","23.85K","2.44%"
"11/01/2022","8.20","8.30","8.40","8.20","694.85K","0.00%"
"10/31/2022","8.20","8.30","8.40","8.20","589.98K","0.00%"
"10/28/2022","8.20","8.30","8.30","8.10","554.18K","-1.20%"
"10/27/2022","8.30","8.30","8.40","8.20","40.20K","1.22%"
"10/26/2022","8.20","8.20","8.30","8.10","2.06M","1.23%"
"10/25/2022","8.10","8.10","8.20","7.90","667.66K","0.00%"
"10/21/2022","8.10","8.00","8.10","7.90","256.90K","0.00%"
"10/20/2022","8.10","8.00","8.20","8.00","243.49K","1.25%"
"10/19/2022","8.00","8.10","8.10","7.90","360.80K","-1.23%"
"10/18/2022","8.10","8.30","8.30","8.00","43.72K","-1.22%"
"10/17/2022","8.20","8.30","8.40","8.00","773.26K","-1.20%"
"10/14/2022","8.30","8.30","8.40","8.20","142.58K","0.00%"
"10/13/2022","8.30","8.30","8.40","8.10","153.65K","1.22%"
"10/12/2022","8.20","8.40","8.40","7.90","683.56K","-1.20%"
"10/11/2022","8.30","8.50","8.50","8.10","350.51K","-1.19%"
"10/07/2022","8.40","8.50","8.50","8.30","85.62K","-1.18%"
"10/06/2022","8.50","8.50","8.60","8.40","58.76K","0.00%"
"10/05/2022","8.50","8.50","8.70","8.40","461.76K","-1.16%"
"10/04/2022","8.60","8.60","8.70","8.50","307.14K","0.00%"
"10/03/2022","8.60","8.70","8.90","8.60","53.97K","0.00%"
"09/30/2022","8.60","8.80","8.80","8.50","1.46M","-1.15%"
"09/29/2022","8.70","8.80","8.80","8.60","1.08M","0.00%"
"09/28/2022","8.70","8.70","8.80","8.70","1.22M","-1.14%"
"09/27/2022","8.80","8.90","8.90","8.70","792.30K","-1.12%"
"09/26/2022","8.90","8.90","9.00","8.80","1.31M","1.14%"
"09/23/2022","8.80","8.70","8.90","8.70","845.59K","1.15%"
"09/22/2022","8.70","8.80","8.80","8.60","279.64K","-1.14%"
"09/21/2022","8.80","8.80","8.90","8.70","130.13K","0.00%"
"09/20/2022","8.80","8.90","9.00","8.70","294.79K","0.00%"
"09/19/2022","8.80","8.90","8.90","8.70","98.44K","0.00%"
"09/16/2022","8.80","8.90","8.90","8.70","92.78K","-1.12%"
"09/15/2022","8.90","8.80","8.90","8.70","177.91K","1.14%"
"09/14/2022","8.80","8.70","8.80","8.60","99.00K","1.15%"
"09/13/2022","8.70","8.90","8.90","8.60","174.23K","0.00%"
"09/12/2022","8.70","8.90","8.90","8.60","773.75K","0.00%"
"09/09/2022","8.70","9.00","9.00","8.70","1.23M","1.16%"
"09/08/2022","8.60","8.60","9.00","8.60","2.00M","-1.15%"
"09/07/2022","8.70","8.90","9.00","8.60","385.04K","-2.25%"
"09/06/2022","8.90","9.00","9.10","8.80","329.50K","-2.20%"
"09/05/2022","9.10","8.60","9.20","8.60","4.71M","7.06%"
"09/02/2022","8.50","8.70","8.80","8.40","172.33K","-3.41%"
"09/01/2022","8.80","8.50","8.80","8.40","425.38K","3.53%"
"08/31/2022","8.50","8.30","8.60","8.10","1.36M","3.66%"
"08/30/2022","8.20","8.20","8.20","8.10","487.83K","0.00%"
"08/29/2022","8.20","8.50","8.50","8.10","280.49K","-2.38%"
"08/26/2022","8.40","8.40","8.40","8.20","1.84M","0.00%"
"08/25/2022","8.40","8.50","8.50","8.10","2.08M","0.00%"
"08/24/2022","8.40","8.50","8.50","8.40","235.74K","-1.18%"
"08/23/2022","8.50","8.50","8.60","8.40","220.62K","-1.16%"
"08/22/2022","8.60","8.70","8.70","8.50","317.20K","0.00%"
"08/19/2022","8.60","8.70","8.70","8.40","334.27K","0.00%"
